timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 18:57:18.895, 0 %, 2 MiB, 15.98 W, 210 MHz
2026/03/16 18:57:23.897, 0 %, 2 MiB, 15.17 W, 210 MHz
2026/03/16 18:57:28.899, 0 %, 19 MiB, 14.60 W, 210 MHz
2026/03/16 18:57:33.901, 0 %, 2960 MiB, 47.38 W, 2550 MHz
2026/03/16 18:57:38.903, 72 %, 11258 MiB, 186.51 W, 2430 MHz
2026/03/16 18:57:43.905, 74 %, 11258 MiB, 180.84 W, 2535 MHz
2026/03/16 18:57:48.909, 74 %, 11258 MiB, 181.96 W, 2715 MHz
2026/03/16 18:57:53.911, 75 %, 11258 MiB, 191.44 W, 2310 MHz
2026/03/16 18:57:58.912, 82 %, 11258 MiB, 191.42 W, 2400 MHz
2026/03/16 18:58:03.914, 75 %, 11258 MiB, 198.28 W, 2385 MHz
2026/03/16 18:58:08.916, 79 %, 11258 MiB, 193.01 W, 2580 MHz
2026/03/16 18:58:13.918, 85 %, 11258 MiB, 194.66 W, 2280 MHz
2026/03/16 18:58:18.920, 81 %, 11258 MiB, 195.42 W, 2400 MHz
2026/03/16 18:58:23.939, 80 %, 11258 MiB, 200.93 W, 2280 MHz
2026/03/16 18:58:28.941, 75 %, 11258 MiB, 193.60 W, 2685 MHz
2026/03/16 18:58:33.942, 82 %, 11258 MiB, 198.75 W, 2355 MHz
2026/03/16 18:58:38.944, 87 %, 11258 MiB, 197.45 W, 2565 MHz
2026/03/16 18:58:43.946, 88 %, 11258 MiB, 196.79 W, 2565 MHz
2026/03/16 18:58:48.948, 84 %, 11258 MiB, 192.86 W, 2700 MHz
2026/03/16 18:58:53.950, 79 %, 11258 MiB, 199.70 W, 2670 MHz
2026/03/16 18:58:58.951, 87 %, 11258 MiB, 197.67 W, 2280 MHz
2026/03/16 18:59:03.952, 80 %, 11258 MiB, 193.90 W, 2700 MHz
2026/03/16 18:59:08.954, 79 %, 11258 MiB, 199.08 W, 2280 MHz
2026/03/16 18:59:13.956, 83 %, 11258 MiB, 192.54 W, 2415 MHz
2026/03/16 18:59:18.959, 80 %, 11258 MiB, 193.20 W, 2445 MHz
2026/03/16 18:59:23.961, 83 %, 11258 MiB, 198.81 W, 2280 MHz
2026/03/16 18:59:28.962, 73 %, 11258 MiB, 193.48 W, 2700 MHz
2026/03/16 18:59:33.967, 83 %, 11258 MiB, 193.41 W, 2385 MHz
2026/03/16 18:59:38.969, 90 %, 11258 MiB, 198.10 W, 2280 MHz
2026/03/16 18:59:43.971, 74 %, 11258 MiB, 196.09 W, 2700 MHz
2026/03/16 18:59:48.973, 84 %, 11258 MiB, 199.54 W, 2700 MHz
2026/03/16 18:59:53.975, 78 %, 11258 MiB, 192.58 W, 2445 MHz
2026/03/16 18:59:58.976, 83 %, 11258 MiB, 194.78 W, 2325 MHz
2026/03/16 19:00:03.978, 80 %, 11258 MiB, 196.47 W, 2700 MHz
2026/03/16 19:00:09.033, 83 %, 11258 MiB, 200.52 W, 2325 MHz
2026/03/16 19:00:14.035, 83 %, 11258 MiB, 195.25 W, 2370 MHz
2026/03/16 19:00:19.037, 83 %, 11258 MiB, 197.58 W, 2595 MHz
2026/03/16 19:00:24.070, 81 %, 11258 MiB, 199.79 W, 2700 MHz
2026/03/16 19:00:29.078, 75 %, 11258 MiB, 195.33 W, 2280 MHz
2026/03/16 19:00:34.080, 78 %, 11258 MiB, 195.28 W, 2700 MHz
2026/03/16 19:00:39.081, 78 %, 11258 MiB, 201.27 W, 2415 MHz
2026/03/16 19:00:44.083, 79 %, 11258 MiB, 199.11 W, 2280 MHz
2026/03/16 19:00:49.084, 83 %, 11258 MiB, 195.18 W, 2685 MHz
2026/03/16 19:00:54.087, 75 %, 11258 MiB, 193.06 W, 2670 MHz
2026/03/16 19:00:59.092, 81 %, 11258 MiB, 195.37 W, 1350 MHz
2026/03/16 19:01:04.099, 78 %, 11258 MiB, 196.87 W, 2370 MHz
2026/03/16 19:01:09.101, 77 %, 11258 MiB, 197.93 W, 2400 MHz
2026/03/16 19:01:14.105, 83 %, 11258 MiB, 192.47 W, 2415 MHz
2026/03/16 19:01:19.107, 79 %, 11258 MiB, 196.51 W, 2280 MHz
2026/03/16 19:01:24.108, 30 %, 11258 MiB, 172.44 W, 2550 MHz
2026/03/16 19:01:29.110, 80 %, 11258 MiB, 195.75 W, 2370 MHz
2026/03/16 19:01:34.112, 85 %, 11258 MiB, 197.48 W, 2430 MHz
2026/03/16 19:01:39.116, 75 %, 11258 MiB, 196.29 W, 2700 MHz
2026/03/16 19:01:44.118, 81 %, 11258 MiB, 199.29 W, 2355 MHz
2026/03/16 19:01:49.119, 85 %, 11258 MiB, 191.35 W, 2700 MHz
2026/03/16 19:01:54.121, 79 %, 11258 MiB, 193.22 W, 2700 MHz
2026/03/16 19:01:59.122, 83 %, 11258 MiB, 194.92 W, 2700 MHz
2026/03/16 19:02:04.139, 87 %, 11258 MiB, 199.00 W, 2295 MHz
2026/03/16 19:02:09.181, 80 %, 11258 MiB, 193.97 W, 2385 MHz
2026/03/16 19:02:14.183, 78 %, 11258 MiB, 196.32 W, 2685 MHz
2026/03/16 19:02:19.187, 79 %, 11258 MiB, 197.28 W, 2565 MHz
2026/03/16 19:02:24.188, 89 %, 11258 MiB, 194.71 W, 2700 MHz
2026/03/16 19:02:29.191, 80 %, 11258 MiB, 183.22 W, 2700 MHz
2026/03/16 19:02:34.193, 0 %, 11258 MiB, 157.74 W, 2700 MHz
