task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.2892215568572283,1.4593842641836776e-07,5.05417410581313e-07,360.0,33.27546169078389,70.0,2.8869143687188623e-05,2.668613248602014e-06,5.527335094908874e-06,3.706509203069951e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #1,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.15169816464185715,8.534382961128659e-08,5.636000435466606e-07,360.0,87.93966129093677,70.0,1.5123823657631876e-05,3.694725176472957e-06,2.8568726188192775e-06,2.1675421452924112e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #1,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.06434508971869946,4.264350235147827e-08,6.64611660881562e-07,360.0,183.55562946744507,70.0,6.402301415801048e-06,3.2650026113856256e-06,1.1631905722121405e-06,1.0830494599398814e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #2,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.06670592352747917,3.0886020016884486e-08,4.6524011377768063e-07,360.0,0.0,70.0,6.634774804115294e-06,0.0,1.209582590187589e-06,7.844357394302888e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #2,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.10027513653039932,6.860124205785582e-08,6.857689230164164e-07,360.0,200.63013105178538,70.0,9.999180771410472e-06,5.57333779127589e-06,1.8506606005960039e-06,1.7423179163282354e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #2,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.06560595333576202,3.421417690036097e-08,5.223071736915562e-07,360.0,0.0,70.0,7.34808947890997e-06,0.0,1.3415452299846549e-06,8.689634708894625e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #3,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.06667768396437168,4.1624351224986435e-08,6.273018720514455e-07,360.0,148.45506761918642,70.0,6.6283687949180575e-06,2.733891072637107e-06,1.2093931695239406e-06,1.0571653037079102e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #3,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.09879779815673828,6.876480361678821e-08,6.967374840157257e-07,360.0,209.7953478199116,70.0,9.866606816649436e-06,5.7505601596119504e-06,1.84755316004157e-06,1.7464720136302946e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #3,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.0665743425488472,4.4502667362333055e-08,6.703819545899305e-07,360.0,203.14397060403547,70.0,6.47206474095583e-06,3.6527807019126612e-06,1.177835433433454e-06,1.1302680876301935e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #4,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.07276722230017185,4.750294801101775e-08,6.562946121607069e-07,360.0,225.95692354215035,70.0,6.666920334100725e-06,4.185281120783202e-06,1.2124835151351173e-06,1.2064684970019017e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #4,2026-03-16T18:57:37,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.1007698941975832,6.891039408221545e-08,6.852161742860183e-07,360.0,196.29102165547584,70.0,1.0117435269057747e-05,5.517226636442274e-06,1.8670349485344374e-06,1.7501696854034445e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #4,2026-03-16T18:57:38,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.07074109464883804,3.060793150291506e-08,4.343147436601652e-07,360.0,0.0,70.0,6.590349040925506e-06,0.0,1.1833800985995257e-06,7.773729139525025e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #5,2026-03-16T18:57:38,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.06814180687069893,3.1128352572788394e-08,4.590309831379461e-07,360.0,0.0,70.0,6.686052493751042e-06,0.0,1.2198519427329295e-06,7.905904436483985e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #5,2026-03-16T18:57:38,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.10190464369952679,6.575083790370033e-08,6.464483738023464e-07,360.0,161.49872364833678,70.0,1.0213575512170789e-05,4.58250366719426e-06,1.9031611633383563e-06,1.6699240342703405e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #5,2026-03-16T18:57:38,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.06495189294219017,4.925199518725943e-08,7.60383760938938e-07,360.0,270.0935212964787,70.0,6.472449749708167e-06,4.856948329745592e-06,1.1795057035568703e-06,1.250890378301064e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #6,2026-03-16T18:57:38,regnet-energy,a120f4d7-627b-4ec1-9484-3897c322b36f,0.06653404235839844,4.604755073254985e-08,6.95180933301071e-07,360.0,206.10351121092316,70.0,6.665288470685481e-06,3.816669718048615e-06,1.2130884660614859e-06,1.1695046654795576e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
