timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 18:51:48.042, 0 %, 2 MiB, 16.10 W, 210 MHz
2026/03/16 18:51:53.044, 0 %, 2 MiB, 15.39 W, 210 MHz
2026/03/16 18:51:58.046, 0 %, 316 MiB, 16.13 W, 2550 MHz
2026/03/16 18:52:03.049, 0 %, 2960 MiB, 48.73 W, 2550 MHz
2026/03/16 18:52:08.050, 69 %, 11258 MiB, 183.23 W, 2715 MHz
2026/03/16 18:52:13.055, 69 %, 11258 MiB, 183.56 W, 2310 MHz
2026/03/16 18:52:18.080, 83 %, 11258 MiB, 184.54 W, 2700 MHz
2026/03/16 18:52:23.082, 82 %, 11258 MiB, 182.77 W, 2700 MHz
2026/03/16 18:52:28.084, 87 %, 11258 MiB, 195.84 W, 2280 MHz
2026/03/16 18:52:33.085, 83 %, 11258 MiB, 193.52 W, 2700 MHz
2026/03/16 18:52:38.087, 83 %, 11258 MiB, 198.49 W, 2580 MHz
2026/03/16 18:52:43.089, 78 %, 11258 MiB, 197.51 W, 2385 MHz
2026/03/16 18:52:48.090, 86 %, 11258 MiB, 195.22 W, 2385 MHz
2026/03/16 18:52:53.092, 80 %, 11258 MiB, 195.24 W, 2580 MHz
2026/03/16 18:52:58.094, 83 %, 11258 MiB, 196.92 W, 2415 MHz
2026/03/16 18:53:03.100, 84 %, 11258 MiB, 197.04 W, 2595 MHz
2026/03/16 18:53:08.101, 84 %, 11258 MiB, 198.94 W, 2700 MHz
2026/03/16 18:53:13.103, 76 %, 11258 MiB, 197.62 W, 2700 MHz
2026/03/16 18:53:18.105, 85 %, 11258 MiB, 191.90 W, 2370 MHz
2026/03/16 18:53:23.107, 80 %, 11258 MiB, 196.90 W, 2595 MHz
2026/03/16 18:53:28.111, 81 %, 11258 MiB, 198.52 W, 2685 MHz
2026/03/16 18:53:33.112, 80 %, 11258 MiB, 194.52 W, 2280 MHz
2026/03/16 18:53:38.114, 78 %, 11258 MiB, 196.09 W, 2700 MHz
2026/03/16 18:53:43.115, 77 %, 11258 MiB, 198.66 W, 1147 MHz
2026/03/16 18:53:48.118, 85 %, 11258 MiB, 198.93 W, 2280 MHz
2026/03/16 18:53:53.120, 84 %, 11258 MiB, 195.12 W, 1192 MHz
2026/03/16 18:53:58.122, 83 %, 11258 MiB, 202.23 W, 2415 MHz
2026/03/16 18:54:03.124, 83 %, 11258 MiB, 194.11 W, 2370 MHz
2026/03/16 18:54:08.126, 87 %, 11258 MiB, 195.60 W, 2700 MHz
2026/03/16 18:54:13.128, 79 %, 11258 MiB, 199.12 W, 2310 MHz
2026/03/16 18:54:18.130, 75 %, 11258 MiB, 197.49 W, 2280 MHz
2026/03/16 18:54:23.132, 85 %, 11258 MiB, 193.44 W, 2700 MHz
2026/03/16 18:54:28.133, 78 %, 11258 MiB, 200.56 W, 2280 MHz
2026/03/16 18:54:33.135, 80 %, 11258 MiB, 192.64 W, 2370 MHz
2026/03/16 18:54:38.136, 86 %, 11258 MiB, 195.31 W, 2700 MHz
2026/03/16 18:54:43.138, 76 %, 11258 MiB, 196.39 W, 2265 MHz
2026/03/16 18:54:48.141, 19 %, 11258 MiB, 177.43 W, 1185 MHz
2026/03/16 18:54:53.144, 84 %, 11258 MiB, 196.02 W, 2625 MHz
2026/03/16 18:54:58.146, 87 %, 11258 MiB, 196.97 W, 2700 MHz
2026/03/16 18:55:03.147, 78 %, 11258 MiB, 197.95 W, 2280 MHz
2026/03/16 18:55:08.149, 90 %, 11258 MiB, 195.51 W, 2430 MHz
2026/03/16 18:55:13.151, 82 %, 11258 MiB, 200.36 W, 2685 MHz
2026/03/16 18:55:18.156, 79 %, 11258 MiB, 197.45 W, 2370 MHz
2026/03/16 18:55:23.163, 79 %, 11258 MiB, 198.61 W, 2565 MHz
2026/03/16 18:55:28.165, 80 %, 11258 MiB, 194.06 W, 2580 MHz
2026/03/16 18:55:33.167, 81 %, 11258 MiB, 199.55 W, 2700 MHz
2026/03/16 18:55:38.217, 83 %, 11258 MiB, 189.86 W, 2370 MHz
2026/03/16 18:55:43.219, 74 %, 11258 MiB, 198.28 W, 2595 MHz
2026/03/16 18:55:48.222, 81 %, 11258 MiB, 194.96 W, 2595 MHz
2026/03/16 18:55:53.226, 81 %, 11258 MiB, 179.81 W, 2700 MHz
2026/03/16 18:55:58.227, 84 %, 11258 MiB, 199.57 W, 2580 MHz
2026/03/16 18:56:03.229, 80 %, 11258 MiB, 195.34 W, 2565 MHz
2026/03/16 18:56:08.231, 83 %, 11258 MiB, 198.73 W, 2670 MHz
2026/03/16 18:56:13.233, 81 %, 11258 MiB, 193.40 W, 2370 MHz
2026/03/16 18:56:18.238, 86 %, 11258 MiB, 196.89 W, 2280 MHz
2026/03/16 18:56:23.240, 79 %, 11258 MiB, 195.20 W, 2700 MHz
2026/03/16 18:56:28.241, 81 %, 11258 MiB, 199.85 W, 2700 MHz
2026/03/16 18:56:33.244, 85 %, 11258 MiB, 196.07 W, 2280 MHz
2026/03/16 18:56:38.246, 79 %, 11258 MiB, 198.09 W, 2700 MHz
2026/03/16 18:56:43.250, 87 %, 11258 MiB, 197.36 W, 2280 MHz
2026/03/16 18:56:48.251, 85 %, 11258 MiB, 199.81 W, 2685 MHz
2026/03/16 18:56:53.253, 78 %, 11258 MiB, 195.44 W, 2430 MHz
2026/03/16 18:56:58.255, 80 %, 11258 MiB, 167.39 W, 2700 MHz
2026/03/16 18:57:03.263, 0 %, 11258 MiB, 145.86 W, 2700 MHz
