timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 19:35:19.718, 0 %, 2 MiB, 16.29 W, 210 MHz
2026/03/16 19:35:24.720, 0 %, 2 MiB, 15.38 W, 210 MHz
2026/03/16 19:35:29.722, 0 %, 358 MiB, 14.90 W, 2550 MHz
2026/03/16 19:35:34.724, 0 %, 2960 MiB, 48.15 W, 2550 MHz
2026/03/16 19:35:39.725, 80 %, 11108 MiB, 181.26 W, 2475 MHz
2026/03/16 19:35:44.727, 80 %, 11108 MiB, 183.42 W, 2685 MHz
2026/03/16 19:35:49.728, 79 %, 11108 MiB, 183.03 W, 2475 MHz
2026/03/16 19:35:54.730, 79 %, 11108 MiB, 184.87 W, 2355 MHz
2026/03/16 19:35:59.738, 79 %, 11108 MiB, 185.95 W, 2700 MHz
2026/03/16 19:36:04.739, 76 %, 11108 MiB, 186.30 W, 2625 MHz
2026/03/16 19:36:09.741, 80 %, 11108 MiB, 185.93 W, 2700 MHz
2026/03/16 19:36:14.743, 78 %, 11108 MiB, 185.63 W, 2445 MHz
2026/03/16 19:36:19.746, 76 %, 11108 MiB, 185.31 W, 2370 MHz
2026/03/16 19:36:24.750, 69 %, 11108 MiB, 172.86 W, 2550 MHz
2026/03/16 19:36:29.751, 75 %, 11108 MiB, 186.04 W, 2685 MHz
2026/03/16 19:36:34.753, 74 %, 11108 MiB, 186.01 W, 2685 MHz
2026/03/16 19:36:39.755, 80 %, 11108 MiB, 186.71 W, 2700 MHz
2026/03/16 19:36:44.757, 72 %, 11108 MiB, 182.50 W, 2610 MHz
2026/03/16 19:36:49.762, 80 %, 11108 MiB, 188.74 W, 2670 MHz
2026/03/16 19:36:54.764, 79 %, 11108 MiB, 165.96 W, 2700 MHz
2026/03/16 19:36:59.765, 70 %, 11108 MiB, 184.49 W, 2625 MHz
2026/03/16 19:37:04.767, 70 %, 11108 MiB, 134.87 W, 2430 MHz
2026/03/16 19:37:09.769, 80 %, 11108 MiB, 188.22 W, 2670 MHz
2026/03/16 19:37:14.771, 80 %, 11108 MiB, 186.01 W, 2430 MHz
2026/03/16 19:37:19.773, 75 %, 11108 MiB, 187.03 W, 2550 MHz
2026/03/16 19:37:24.774, 80 %, 11108 MiB, 187.23 W, 2445 MHz
2026/03/16 19:37:29.776, 76 %, 11108 MiB, 185.63 W, 2550 MHz
2026/03/16 19:37:34.778, 76 %, 11108 MiB, 187.24 W, 2700 MHz
2026/03/16 19:37:39.780, 70 %, 11108 MiB, 186.86 W, 2340 MHz
2026/03/16 19:37:44.785, 75 %, 11108 MiB, 187.46 W, 2700 MHz
2026/03/16 19:37:49.787, 72 %, 11108 MiB, 185.99 W, 2325 MHz
2026/03/16 19:37:54.788, 80 %, 11108 MiB, 186.44 W, 2430 MHz
2026/03/16 19:37:59.790, 79 %, 11108 MiB, 186.12 W, 2700 MHz
2026/03/16 19:38:04.792, 80 %, 11108 MiB, 187.13 W, 2670 MHz
2026/03/16 19:38:09.798, 76 %, 11108 MiB, 188.83 W, 2430 MHz
2026/03/16 19:38:14.800, 80 %, 11108 MiB, 188.28 W, 2700 MHz
2026/03/16 19:38:19.801, 75 %, 11108 MiB, 187.12 W, 2325 MHz
2026/03/16 19:38:24.803, 73 %, 11108 MiB, 186.48 W, 2700 MHz
2026/03/16 19:38:29.805, 76 %, 11108 MiB, 187.48 W, 2325 MHz
2026/03/16 19:38:34.810, 80 %, 11108 MiB, 186.26 W, 2700 MHz
2026/03/16 19:38:39.812, 72 %, 11108 MiB, 187.23 W, 2670 MHz
2026/03/16 19:38:44.813, 77 %, 11108 MiB, 186.35 W, 2325 MHz
2026/03/16 19:38:49.815, 80 %, 11108 MiB, 185.85 W, 2430 MHz
2026/03/16 19:38:54.817, 70 %, 11108 MiB, 186.93 W, 2685 MHz
2026/03/16 19:38:59.823, 75 %, 11108 MiB, 186.29 W, 2355 MHz
2026/03/16 19:39:04.824, 81 %, 11108 MiB, 186.76 W, 2700 MHz
2026/03/16 19:39:09.827, 79 %, 11108 MiB, 187.88 W, 2325 MHz
2026/03/16 19:39:14.829, 81 %, 11108 MiB, 186.29 W, 2430 MHz
2026/03/16 19:39:19.834, 72 %, 11108 MiB, 187.48 W, 2700 MHz
2026/03/16 19:39:24.835, 81 %, 11108 MiB, 187.90 W, 2550 MHz
2026/03/16 19:39:29.837, 76 %, 11108 MiB, 189.44 W, 2325 MHz
2026/03/16 19:39:34.839, 76 %, 11108 MiB, 186.24 W, 2445 MHz
2026/03/16 19:39:39.840, 71 %, 11108 MiB, 187.30 W, 2700 MHz
2026/03/16 19:39:44.842, 70 %, 11108 MiB, 189.07 W, 2415 MHz
2026/03/16 19:39:49.846, 79 %, 11108 MiB, 188.82 W, 2700 MHz
2026/03/16 19:39:54.848, 81 %, 11108 MiB, 185.83 W, 2325 MHz
2026/03/16 19:39:59.850, 68 %, 11108 MiB, 183.93 W, 2460 MHz
2026/03/16 19:40:04.852, 80 %, 11108 MiB, 187.53 W, 2700 MHz
2026/03/16 19:40:09.861, 76 %, 11108 MiB, 187.86 W, 2550 MHz
2026/03/16 19:40:14.863, 75 %, 11108 MiB, 186.79 W, 2550 MHz
2026/03/16 19:40:19.864, 72 %, 11108 MiB, 186.69 W, 2700 MHz
2026/03/16 19:40:24.866, 80 %, 11108 MiB, 186.77 W, 2685 MHz
2026/03/16 19:40:29.869, 72 %, 11108 MiB, 186.38 W, 2445 MHz
2026/03/16 19:40:34.872, 0 %, 11108 MiB, 150.60 W, 2700 MHz
