timestamp,cpu_percent,ram_used_mb
2026/03/16 19:35:19,0.0,15603.892224
2026/03/16 19:35:20,0.8,15835.500544
2026/03/16 19:35:20,0.4,15880.3968
2026/03/16 19:35:21,0.5,15623.2704
2026/03/16 19:35:21,0.8,15845.916672
2026/03/16 19:35:22,0.4,15894.786048
2026/03/16 19:35:22,0.5,15952.867328
2026/03/16 19:35:23,0.4,15992.348672
2026/03/16 19:35:23,0.4,16048.08704
2026/03/16 19:35:24,0.4,16063.041536
2026/03/16 19:35:24,0.3,16064.26624
2026/03/16 19:35:25,0.4,16277.348352
2026/03/16 19:35:25,0.5,16793.960448
2026/03/16 19:35:26,0.5,17318.83008
2026/03/16 19:35:26,0.6,17853.775872
2026/03/16 19:35:27,0.5,18389.950464
2026/03/16 19:35:27,0.6,18672.852992
2026/03/16 19:35:28,0.6,18672.807936
2026/03/16 19:35:28,0.6,18672.574464
2026/03/16 19:35:29,0.5,18672.574464
2026/03/16 19:35:29,0.5,18764.763136
2026/03/16 19:35:30,0.6,16244.772864
2026/03/16 19:35:30,0.9,16278.50752
2026/03/16 19:35:31,0.5,16278.50752
2026/03/16 19:35:31,0.6,16246.255616
2026/03/16 19:35:32,0.8,16277.614592
2026/03/16 19:35:32,0.6,16277.01248
2026/03/16 19:35:33,0.7,16247.296
2026/03/16 19:35:33,0.8,16276.594688
2026/03/16 19:35:34,0.5,16276.594688
2026/03/16 19:35:34,0.6,16407.457792
2026/03/16 19:35:35,0.8,16496.7424
2026/03/16 19:35:35,0.4,16556.1344
2026/03/16 19:35:36,0.6,16601.554944
2026/03/16 19:35:36,0.5,16662.040576
2026/03/16 19:35:37,0.4,16689.819648
2026/03/16 19:35:37,1.3,17073.21344
2026/03/16 19:35:38,0.7,17231.642624
2026/03/16 19:35:38,0.9,17249.01376
2026/03/16 19:35:39,1.3,17234.255872
2026/03/16 19:35:39,0.8,17238.970368
2026/03/16 19:35:40,0.6,17240.813568
2026/03/16 19:35:40,0.7,17238.843392
2026/03/16 19:35:41,0.7,17242.17344
2026/03/16 19:35:41,0.6,17242.750976
2026/03/16 19:35:42,0.7,17245.667328
2026/03/16 19:35:42,0.7,17249.701888
2026/03/16 19:35:43,0.7,17251.672064
2026/03/16 19:35:43,0.8,17252.913152
2026/03/16 19:35:44,0.7,17255.75168
2026/03/16 19:35:44,0.7,17258.729472
2026/03/16 19:35:45,0.7,17262.133248
2026/03/16 19:35:45,0.7,17265.393664
2026/03/16 19:35:46,0.7,17268.371456
2026/03/16 19:35:46,0.7,17268.908032
2026/03/16 19:35:47,0.6,17272.832
2026/03/16 19:35:47,0.8,17271.508992
2026/03/16 19:35:48,0.8,17272.000512
2026/03/16 19:35:48,0.7,17272.532992
2026/03/16 19:35:49,0.6,17273.032704
2026/03/16 19:35:49,0.7,17275.047936
2026/03/16 19:35:50,0.6,17273.839616
2026/03/16 19:35:50,0.6,17275.96544
2026/03/16 19:35:51,0.7,17277.0304
2026/03/16 19:35:51,0.7,17279.05792
2026/03/16 19:35:52,0.6,17280.94208
2026/03/16 19:35:52,0.7,17279.30368
2026/03/16 19:35:53,0.6,17283.313664
2026/03/16 19:35:53,0.7,17284.01408
2026/03/16 19:35:54,0.7,17288.978432
2026/03/16 19:35:54,0.7,17289.68704
2026/03/16 19:35:55,0.7,17278.775296
2026/03/16 19:35:55,0.6,17280.258048
2026/03/16 19:35:56,0.7,17284.620288
2026/03/16 19:35:56,0.7,17286.754304
2026/03/16 19:35:57,0.6,17291.460608
2026/03/16 19:35:57,0.7,17295.527936
2026/03/16 19:35:58,0.6,17292.169216
2026/03/16 19:35:58,0.7,17291.014144
2026/03/16 19:35:59,0.7,17291.81696
2026/03/16 19:35:59,0.7,17295.040512
2026/03/16 19:36:00,0.7,17294.49984
2026/03/16 19:36:00,0.6,17299.185664
2026/03/16 19:36:01,0.7,17302.34368
2026/03/16 19:36:01,0.7,17301.315584
2026/03/16 19:36:02,0.6,17303.724032
2026/03/16 19:36:02,0.7,17304.748032
2026/03/16 19:36:03,0.6,17308.770304
2026/03/16 19:36:03,0.6,17310.39232
2026/03/16 19:36:04,0.6,17311.657984
2026/03/16 19:36:04,0.6,17314.803712
2026/03/16 19:36:05,0.7,17316.49536
2026/03/16 19:36:05,0.6,17319.305216
2026/03/16 19:36:06,0.6,17317.86752
2026/03/16 19:36:06,0.6,17320.189952
2026/03/16 19:36:07,0.7,17323.798528
2026/03/16 19:36:07,0.7,17326.862336
2026/03/16 19:36:08,0.7,17327.280128
2026/03/16 19:36:08,0.7,17324.773376
2026/03/16 19:36:09,0.7,17329.504256
2026/03/16 19:36:09,0.6,17331.703808
2026/03/16 19:36:10,0.7,17331.851264
