timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 19:24:16.713, 0 %, 2 MiB, 10.63 W, 210 MHz
2026/03/16 19:24:21.715, 0 %, 2 MiB, 10.47 W, 210 MHz
2026/03/16 19:24:26.717, 0 %, 5 MiB, 11.02 W, 210 MHz
2026/03/16 19:24:31.719, 0 %, 2960 MiB, 41.19 W, 2550 MHz
2026/03/16 19:24:36.720, 79 %, 11108 MiB, 176.99 W, 2685 MHz
2026/03/16 19:24:41.722, 71 %, 11108 MiB, 181.61 W, 2730 MHz
2026/03/16 19:24:46.724, 80 %, 11108 MiB, 179.70 W, 2730 MHz
2026/03/16 19:24:51.725, 67 %, 11108 MiB, 175.56 W, 2730 MHz
2026/03/16 19:24:56.727, 80 %, 11108 MiB, 181.34 W, 2400 MHz
2026/03/16 19:25:01.728, 71 %, 11108 MiB, 183.32 W, 2715 MHz
2026/03/16 19:25:06.730, 78 %, 11108 MiB, 182.12 W, 2715 MHz
2026/03/16 19:25:11.738, 76 %, 11108 MiB, 181.13 W, 2715 MHz
2026/03/16 19:25:16.787, 69 %, 11108 MiB, 168.89 W, 2655 MHz
2026/03/16 19:25:21.825, 70 %, 11108 MiB, 171.13 W, 2355 MHz
2026/03/16 19:25:26.828, 79 %, 11108 MiB, 183.98 W, 2655 MHz
2026/03/16 19:25:31.832, 80 %, 11108 MiB, 182.42 W, 2715 MHz
2026/03/16 19:25:36.834, 80 %, 11108 MiB, 182.63 W, 2700 MHz
2026/03/16 19:25:41.835, 76 %, 11108 MiB, 184.71 W, 2700 MHz
2026/03/16 19:25:46.837, 76 %, 11108 MiB, 183.95 W, 2370 MHz
2026/03/16 19:25:51.840, 81 %, 11108 MiB, 185.94 W, 2370 MHz
2026/03/16 19:25:56.844, 80 %, 11108 MiB, 186.21 W, 2700 MHz
2026/03/16 19:26:01.845, 79 %, 11108 MiB, 187.30 W, 2565 MHz
2026/03/16 19:26:06.847, 80 %, 11108 MiB, 180.81 W, 2700 MHz
2026/03/16 19:26:11.849, 72 %, 11108 MiB, 191.04 W, 2685 MHz
2026/03/16 19:26:16.887, 80 %, 11108 MiB, 184.78 W, 1177 MHz
2026/03/16 19:26:21.890, 80 %, 11108 MiB, 185.92 W, 2445 MHz
2026/03/16 19:26:26.894, 80 %, 11108 MiB, 188.15 W, 2700 MHz
2026/03/16 19:26:31.896, 78 %, 11108 MiB, 185.73 W, 2355 MHz
2026/03/16 19:26:36.898, 72 %, 11108 MiB, 189.01 W, 2700 MHz
2026/03/16 19:26:41.900, 75 %, 11108 MiB, 186.54 W, 2550 MHz
2026/03/16 19:26:46.902, 80 %, 11108 MiB, 186.27 W, 2355 MHz
2026/03/16 19:26:51.908, 80 %, 11108 MiB, 189.13 W, 2430 MHz
2026/03/16 19:26:56.909, 80 %, 11108 MiB, 188.74 W, 2445 MHz
2026/03/16 19:27:01.911, 78 %, 11108 MiB, 187.45 W, 2700 MHz
2026/03/16 19:27:06.912, 80 %, 11108 MiB, 188.38 W, 2340 MHz
2026/03/16 19:27:11.914, 76 %, 11108 MiB, 187.39 W, 2355 MHz
2026/03/16 19:27:16.919, 79 %, 11108 MiB, 187.42 W, 2700 MHz
2026/03/16 19:27:21.921, 80 %, 11108 MiB, 188.75 W, 2565 MHz
2026/03/16 19:27:26.923, 80 %, 11108 MiB, 189.32 W, 2610 MHz
2026/03/16 19:27:31.924, 80 %, 11108 MiB, 187.45 W, 2700 MHz
2026/03/16 19:27:36.926, 76 %, 11108 MiB, 187.30 W, 2700 MHz
2026/03/16 19:27:41.933, 80 %, 11108 MiB, 188.71 W, 2550 MHz
2026/03/16 19:27:46.934, 79 %, 11108 MiB, 187.61 W, 2430 MHz
2026/03/16 19:27:51.935, 73 %, 11108 MiB, 179.48 W, 2340 MHz
2026/03/16 19:27:56.937, 75 %, 11108 MiB, 186.76 W, 2700 MHz
2026/03/16 19:28:01.939, 79 %, 11108 MiB, 186.02 W, 2670 MHz
2026/03/16 19:28:06.944, 79 %, 11108 MiB, 186.27 W, 2430 MHz
2026/03/16 19:28:11.946, 80 %, 11108 MiB, 186.35 W, 2325 MHz
2026/03/16 19:28:16.947, 75 %, 11108 MiB, 186.11 W, 2700 MHz
2026/03/16 19:28:21.949, 76 %, 11108 MiB, 187.70 W, 2325 MHz
2026/03/16 19:28:26.951, 79 %, 11108 MiB, 187.32 W, 2355 MHz
2026/03/16 19:28:31.956, 73 %, 11108 MiB, 186.13 W, 2700 MHz
2026/03/16 19:28:36.957, 81 %, 11108 MiB, 188.73 W, 2700 MHz
2026/03/16 19:28:41.959, 80 %, 11108 MiB, 186.72 W, 2550 MHz
2026/03/16 19:28:46.961, 79 %, 11108 MiB, 188.72 W, 2355 MHz
2026/03/16 19:28:51.964, 75 %, 11108 MiB, 189.17 W, 2430 MHz
2026/03/16 19:28:56.968, 76 %, 11108 MiB, 185.89 W, 2700 MHz
2026/03/16 19:29:01.970, 75 %, 11108 MiB, 186.50 W, 2625 MHz
2026/03/16 19:29:06.971, 80 %, 11108 MiB, 185.60 W, 2700 MHz
2026/03/16 19:29:11.973, 76 %, 11108 MiB, 187.10 W, 2700 MHz
2026/03/16 19:29:16.975, 79 %, 11108 MiB, 188.27 W, 2550 MHz
2026/03/16 19:29:21.980, 76 %, 11108 MiB, 186.74 W, 2700 MHz
2026/03/16 19:29:26.982, 79 %, 11108 MiB, 188.24 W, 2550 MHz
2026/03/16 19:29:31.983, 0 %, 11108 MiB, 148.48 W, 2700 MHz
