timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 19:29:48.751, 0 %, 2 MiB, 15.37 W, 210 MHz
2026/03/16 19:29:53.753, 0 %, 2 MiB, 14.64 W, 210 MHz
2026/03/16 19:29:58.755, 0 %, 5 MiB, 14.04 W, 210 MHz
2026/03/16 19:30:03.757, 0 %, 2960 MiB, 46.10 W, 2550 MHz
2026/03/16 19:30:08.758, 80 %, 11108 MiB, 181.15 W, 2715 MHz
2026/03/16 19:30:13.760, 76 %, 11108 MiB, 182.43 W, 2595 MHz
2026/03/16 19:30:18.763, 79 %, 11108 MiB, 182.95 W, 2700 MHz
2026/03/16 19:30:23.765, 80 %, 11108 MiB, 182.57 W, 2460 MHz
2026/03/16 19:30:28.766, 80 %, 11108 MiB, 184.11 W, 2700 MHz
2026/03/16 19:30:33.769, 79 %, 11108 MiB, 186.36 W, 2565 MHz
2026/03/16 19:30:38.771, 80 %, 11108 MiB, 186.31 W, 2370 MHz
2026/03/16 19:30:43.773, 80 %, 11108 MiB, 185.92 W, 2445 MHz
2026/03/16 19:30:48.774, 80 %, 11108 MiB, 183.79 W, 2475 MHz
2026/03/16 19:30:53.777, 79 %, 11108 MiB, 172.05 W, 2355 MHz
2026/03/16 19:30:58.778, 80 %, 11108 MiB, 184.70 W, 2610 MHz
2026/03/16 19:31:03.779, 76 %, 11108 MiB, 186.55 W, 2700 MHz
2026/03/16 19:31:08.782, 79 %, 11108 MiB, 187.86 W, 2700 MHz
2026/03/16 19:31:13.786, 79 %, 11108 MiB, 185.15 W, 2355 MHz
2026/03/16 19:31:18.787, 8 %, 11108 MiB, 160.21 W, 2565 MHz
2026/03/16 19:31:23.789, 80 %, 11108 MiB, 163.54 W, 2700 MHz
2026/03/16 19:31:28.790, 67 %, 11108 MiB, 162.10 W, 2370 MHz
2026/03/16 19:31:33.793, 77 %, 11108 MiB, 185.78 W, 2700 MHz
2026/03/16 19:31:38.797, 81 %, 11108 MiB, 187.38 W, 2685 MHz
2026/03/16 19:31:43.798, 42 %, 11108 MiB, 164.82 W, 2610 MHz
2026/03/16 19:31:48.800, 80 %, 11108 MiB, 187.18 W, 2370 MHz
2026/03/16 19:31:53.801, 80 %, 11108 MiB, 185.18 W, 2700 MHz
2026/03/16 19:31:58.803, 80 %, 11108 MiB, 185.94 W, 2430 MHz
2026/03/16 19:32:03.811, 80 %, 11108 MiB, 185.80 W, 2340 MHz
2026/03/16 19:32:08.813, 80 %, 11108 MiB, 188.58 W, 2430 MHz
2026/03/16 19:32:13.814, 80 %, 11108 MiB, 186.39 W, 2685 MHz
2026/03/16 19:32:18.816, 80 %, 11108 MiB, 188.35 W, 2355 MHz
2026/03/16 19:32:23.818, 80 %, 11108 MiB, 187.32 W, 2700 MHz
2026/03/16 19:32:28.822, 80 %, 11108 MiB, 186.87 W, 2700 MHz
2026/03/16 19:32:33.824, 80 %, 11108 MiB, 189.08 W, 2550 MHz
2026/03/16 19:32:38.825, 71 %, 11108 MiB, 185.61 W, 2430 MHz
2026/03/16 19:32:43.828, 80 %, 11108 MiB, 185.79 W, 2700 MHz
2026/03/16 19:32:48.830, 80 %, 11108 MiB, 188.85 W, 2550 MHz
2026/03/16 19:32:53.834, 80 %, 11108 MiB, 189.36 W, 2355 MHz
2026/03/16 19:32:58.836, 79 %, 11108 MiB, 187.94 W, 2430 MHz
2026/03/16 19:33:03.837, 79 %, 11108 MiB, 188.86 W, 2670 MHz
2026/03/16 19:33:08.838, 75 %, 11108 MiB, 186.39 W, 2700 MHz
2026/03/16 19:33:13.840, 80 %, 11108 MiB, 186.80 W, 2700 MHz
2026/03/16 19:33:18.842, 80 %, 11108 MiB, 187.58 W, 2340 MHz
2026/03/16 19:33:23.846, 77 %, 11108 MiB, 187.22 W, 2460 MHz
2026/03/16 19:33:28.848, 80 %, 11108 MiB, 187.76 W, 2340 MHz
2026/03/16 19:33:33.850, 80 %, 11108 MiB, 187.79 W, 2430 MHz
2026/03/16 19:33:38.851, 75 %, 11108 MiB, 186.17 W, 2550 MHz
2026/03/16 19:33:43.854, 79 %, 11108 MiB, 188.00 W, 2355 MHz
2026/03/16 19:33:48.858, 80 %, 11108 MiB, 186.90 W, 2430 MHz
2026/03/16 19:33:53.860, 72 %, 11108 MiB, 185.70 W, 2325 MHz
2026/03/16 19:33:58.862, 79 %, 11108 MiB, 189.31 W, 2415 MHz
2026/03/16 19:34:03.864, 80 %, 11108 MiB, 188.14 W, 2700 MHz
2026/03/16 19:34:08.866, 70 %, 11108 MiB, 187.29 W, 2340 MHz
2026/03/16 19:34:13.872, 80 %, 11108 MiB, 186.07 W, 2700 MHz
2026/03/16 19:34:18.873, 71 %, 11108 MiB, 191.51 W, 2520 MHz
2026/03/16 19:34:23.875, 79 %, 11108 MiB, 188.50 W, 2445 MHz
2026/03/16 19:34:28.876, 80 %, 11108 MiB, 185.53 W, 2700 MHz
2026/03/16 19:34:33.878, 80 %, 11108 MiB, 186.92 W, 2700 MHz
2026/03/16 19:34:38.883, 80 %, 11108 MiB, 188.33 W, 2325 MHz
2026/03/16 19:34:43.884, 80 %, 11108 MiB, 188.31 W, 2325 MHz
2026/03/16 19:34:48.886, 80 %, 11108 MiB, 187.75 W, 2700 MHz
2026/03/16 19:34:53.887, 80 %, 11108 MiB, 187.12 W, 2700 MHz
2026/03/16 19:34:58.894, 80 %, 11108 MiB, 188.77 W, 2550 MHz
2026/03/16 19:35:03.896, 79 %, 11108 MiB, 185.56 W, 2700 MHz
