task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-16T19:35:37,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.26261091232299805,1.387804719261462e-07,5.28878719417015e-07,360.0,54.68561590802485,70.0,2.6231156475842e-05,3.98500318965489e-06,5.030972226005462e-06,3.524713189150235e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #1,2026-03-16T19:35:37,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.11874279379844666,6.684780568347207e-08,5.641118845860512e-07,360.0,89.14086205550146,70.0,1.1830530688166619e-05,2.929724566058667e-06,2.2175903380331063e-06,1.6977845592258395e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #1,2026-03-16T19:35:37,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.06459149159491062,4.63819884810081e-08,7.197354193462643e-07,360.0,232.94516364658085,70.0,6.439368799328801e-06,4.167503330876343e-06,1.1731142229917985e-06,1.1779986353196951e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #2,2026-03-16T19:35:38,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.04032008536159992,1.8459725727168444e-08,4.6083681814063467e-07,360.0,0.0,70.0,3.9858195930719345e-06,0.0,7.025373375250231e-07,4.6883569305969695e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #2,2026-03-16T19:35:38,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.059677088633179665,4.027766864717224e-08,6.76590876836917e-07,360.0,195.6637343168103,70.0,5.932982079684736e-06,3.2252803592314194e-06,1.0713633822484152e-06,1.0229625821164557e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #2,2026-03-16T19:35:38,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.06624531000852585,4.967534978974178e-08,7.520470903993816e-07,360.0,263.0158908796331,70.0,6.600674800574777e-06,4.823337192760846e-06,1.1924143777125408e-06,1.261642637104817e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #3,2026-03-16T19:35:38,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.039305705577135086,1.8106284495386493e-08,4.6263008139861337e-07,360.0,0.0,70.0,3.911041282117363e-06,0.0,6.875494908955361e-07,4.598590773012906e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #3,2026-03-16T19:35:38,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.07881953939795494,4.6876490203753544e-08,5.959640280014267e-07,360.0,135.54674070346192,70.0,7.637450657784942e-06,2.876113413208259e-06,1.3920146454539572e-06,1.1905578716447162e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #3,2026-03-16T19:35:38,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.07330137118697166,4.65313353115077e-08,6.368592462056921e-07,360.0,204.74944137055294,70.0,6.7504420876503024e-06,3.840003074628839e-06,1.2274719412542059e-06,1.1817917103533346e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #4,2026-03-16T19:35:38,regnet-energy,ca9fc766-61e9-4c69-8f34-b0372a683fde,0.03997446782886982,1.829429605043976e-08,4.6112277881890034e-07,360.0,0.0,70.0,3.948928043246265e-06,0.0,6.974134542461903e-07,4.646341497492471e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
