task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-03-16T20:18:51,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.6408157646656036,3.8925691166212316e-07,6.073085376973908e-07,360.0,123.29853019420915,70.0,6.436701025813817e-05,2.204585096876599e-05,1.2449676957395341e-05,9.88625381842995e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #2,2026-03-16T20:18:51,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.3847438432276249,2.545336509805032e-07,6.618092591053845e-07,360.0,174.81233218876804,70.0,3.8518027402460576e-05,1.8704459407103968e-05,7.423360278416011e-06,6.464584708798055e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #3,2026-03-16T20:18:51,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.39282897114753723,2.583722269599584e-07,6.579351421243625e-07,360.0,173.1296270129728,70.0,3.9206499792635436e-05,1.885557063729948e-05,7.558688992220496e-06,6.562075942215541e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #4,2026-03-16T20:18:52,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.3879075422883034,2.584383454066658e-07,6.664123626327398e-07,360.0,179.98257913597834,70.0,3.877773508429526e-05,1.9387515507673925e-05,7.472301434932481e-06,6.563755202690166e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #5,2026-03-16T20:18:52,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.3923346009105444,2.5799706774652313e-07,6.578193461579459e-07,360.0,172.09265427132098,70.0,3.9217924699187285e-05,1.8748070552021545e-05,7.5594821323951106e-06,6.552547738360393e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #6,2026-03-16T20:18:53,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.38270203955471516,2.445929128636927e-07,6.391619240227242e-07,360.0,155.38056402273529,70.0,3.824247438460586e-05,1.6506402097604678e-05,7.372245746147305e-06,6.212112222835786e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #7,2026-03-16T20:18:53,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.39220901764929295,2.468403380641451e-07,6.296184196037633e-07,360.0,146.3472769410637,70.0,3.92008015885949e-05,1.593640163832788e-05,7.554714671439598e-06,6.269191789836238e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #8,2026-03-16T20:18:53,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.38561425171792507,2.566123724365614e-07,6.654609393221989e-07,360.0,179.1277714656269,70.0,3.8558047264814356e-05,1.918612645823714e-05,7.429622061964534e-06,6.517379578501608e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #9,2026-03-16T20:18:54,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.3844881225377321,2.597351914513645e-07,6.757409333209916e-07,360.0,187.12320853037727,70.0,3.8521075248718246e-05,2.002334935724548e-05,7.422497273526255e-06,6.596692187949005e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #10,2026-03-16T20:18:54,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.38551852852106094,2.565691748419393e-07,6.65617120584903e-07,360.0,179.2481544907486,70.0,3.8543265685439076e-05,1.9191682021357792e-05,7.42787685659197e-06,6.516282456338882e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #11,2026-03-16T20:18:54,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.38499532639980316,2.5883276406713437e-07,6.724336138448068e-07,360.0,184.7766666678846,70.0,3.853468447923659e-05,1.9779182487411617e-05,7.42385856703752e-06,6.573772553368582e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #12,2026-03-16T20:18:55,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.3856196589767933,2.546067535022138e-07,6.606093112931343e-07,360.0,174.69400749583238,70.0,3.8537749648094144e-05,1.8701403853071952e-05,7.425259990203714e-06,6.466441349136981e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #13,2026-03-16T20:18:55,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.38481444865465164,2.592923299850775e-07,6.7387642810075e-07,360.0,186.150496890733,70.0,3.8515683449804813e-05,1.9916404824016354e-05,7.4223567110796716e-06,6.585444498490088e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #14,2026-03-16T20:18:56,regnet-energy,59d12517-ed8d-4430-8ce0-56e5369d5d73,0.3913101702928543,2.5763674993460565e-07,6.587010389840827e-07,360.0,178.40602716173393,70.0,3.875483069568878e-05,1.9206404246574493e-05,7.472729786402654e-06,6.543396472866582e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
