timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 20:18:32.462, 0 %, 2 MiB, 14.88 W, 210 MHz
2026/03/16 20:18:37.464, 0 %, 2 MiB, 15.24 W, 210 MHz
2026/03/16 20:18:42.465, 0 %, 20 MiB, 15.22 W, 2550 MHz
2026/03/16 20:18:47.477, 0 %, 2960 MiB, 44.61 W, 2550 MHz
2026/03/16 20:18:52.478, 82 %, 15044 MiB, 198.55 W, 2400 MHz
2026/03/16 20:18:57.483, 81 %, 15044 MiB, 199.91 W, 2340 MHz
2026/03/16 20:19:02.484, 86 %, 15044 MiB, 200.56 W, 2520 MHz
2026/03/16 20:19:07.486, 93 %, 15044 MiB, 204.62 W, 2730 MHz
2026/03/16 20:19:12.487, 82 %, 15044 MiB, 198.77 W, 2295 MHz
2026/03/16 20:19:17.490, 93 %, 15044 MiB, 201.80 W, 2505 MHz
2026/03/16 20:19:22.495, 95 %, 15044 MiB, 205.71 W, 2715 MHz
2026/03/16 20:19:27.496, 82 %, 15044 MiB, 200.24 W, 2295 MHz
2026/03/16 20:19:32.498, 92 %, 15044 MiB, 203.22 W, 2505 MHz
2026/03/16 20:19:37.500, 95 %, 15044 MiB, 206.90 W, 2715 MHz
2026/03/16 20:19:42.502, 84 %, 15044 MiB, 202.94 W, 2280 MHz
2026/03/16 20:19:47.507, 93 %, 15044 MiB, 197.70 W, 2715 MHz
2026/03/16 20:19:52.509, 82 %, 15044 MiB, 202.42 W, 1140 MHz
2026/03/16 20:19:57.510, 90 %, 15044 MiB, 201.47 W, 2715 MHz
2026/03/16 20:20:02.512, 81 %, 15044 MiB, 204.50 W, 2280 MHz
2026/03/16 20:20:07.514, 93 %, 15044 MiB, 205.08 W, 2700 MHz
2026/03/16 20:20:12.518, 83 %, 15044 MiB, 203.01 W, 1140 MHz
2026/03/16 20:20:17.519, 94 %, 15044 MiB, 205.23 W, 2700 MHz
2026/03/16 20:20:22.522, 81 %, 15044 MiB, 203.23 W, 2265 MHz
2026/03/16 20:20:27.524, 90 %, 15044 MiB, 200.58 W, 2520 MHz
2026/03/16 20:20:32.526, 79 %, 15044 MiB, 202.68 W, 2235 MHz
2026/03/16 20:20:37.531, 90 %, 15044 MiB, 200.84 W, 2460 MHz
2026/03/16 20:20:42.532, 82 %, 15044 MiB, 204.31 W, 2355 MHz
2026/03/16 20:20:47.534, 90 %, 15044 MiB, 200.83 W, 2460 MHz
2026/03/16 20:20:52.535, 82 %, 15044 MiB, 207.34 W, 2430 MHz
2026/03/16 20:20:57.537, 92 %, 15044 MiB, 204.82 W, 2430 MHz
2026/03/16 20:21:02.539, 82 %, 15044 MiB, 208.44 W, 2700 MHz
2026/03/16 20:21:07.543, 93 %, 15044 MiB, 204.09 W, 2625 MHz
2026/03/16 20:21:12.544, 88 %, 15044 MiB, 210.01 W, 2700 MHz
2026/03/16 20:21:17.546, 93 %, 15044 MiB, 202.80 W, 2250 MHz
2026/03/16 20:21:22.547, 85 %, 15044 MiB, 205.52 W, 2235 MHz
2026/03/16 20:21:27.551, 94 %, 15044 MiB, 206.69 W, 2505 MHz
2026/03/16 20:21:32.555, 81 %, 15044 MiB, 204.61 W, 2370 MHz
2026/03/16 20:21:37.556, 91 %, 15044 MiB, 201.31 W, 2415 MHz
2026/03/16 20:21:42.558, 84 %, 15044 MiB, 210.73 W, 2400 MHz
2026/03/16 20:21:47.560, 94 %, 15044 MiB, 200.15 W, 2700 MHz
2026/03/16 20:21:52.562, 93 %, 15044 MiB, 210.63 W, 2430 MHz
2026/03/16 20:21:57.568, 84 %, 15044 MiB, 204.90 W, 2475 MHz
2026/03/16 20:22:02.569, 85 %, 15044 MiB, 204.98 W, 2700 MHz
2026/03/16 20:22:07.571, 82 %, 15044 MiB, 203.87 W, 2235 MHz
2026/03/16 20:22:12.572, 91 %, 15044 MiB, 206.94 W, 2700 MHz
2026/03/16 20:22:17.575, 82 %, 15044 MiB, 204.72 W, 2235 MHz
2026/03/16 20:22:22.578, 85 %, 15044 MiB, 204.05 W, 2700 MHz
2026/03/16 20:22:27.580, 88 %, 15044 MiB, 204.59 W, 2235 MHz
2026/03/16 20:22:32.582, 85 %, 15044 MiB, 204.20 W, 2700 MHz
2026/03/16 20:22:37.584, 93 %, 15044 MiB, 199.27 W, 2265 MHz
2026/03/16 20:22:42.587, 82 %, 15044 MiB, 207.15 W, 2430 MHz
2026/03/16 20:22:47.593, 91 %, 15044 MiB, 211.24 W, 2700 MHz
2026/03/16 20:22:52.595, 73 %, 15044 MiB, 201.61 W, 2610 MHz
2026/03/16 20:22:57.597, 92 %, 15044 MiB, 210.03 W, 2700 MHz
2026/03/16 20:23:02.598, 83 %, 15044 MiB, 188.24 W, 2205 MHz
2026/03/16 20:23:07.601, 90 %, 15044 MiB, 211.27 W, 2700 MHz
2026/03/16 20:23:12.603, 83 %, 15044 MiB, 204.76 W, 2220 MHz
2026/03/16 20:23:17.605, 90 %, 15044 MiB, 212.48 W, 2700 MHz
2026/03/16 20:23:22.608, 85 %, 15044 MiB, 206.67 W, 2220 MHz
2026/03/16 20:23:27.610, 92 %, 15044 MiB, 183.94 W, 2505 MHz
2026/03/16 20:23:32.612, 88 %, 15044 MiB, 205.20 W, 2430 MHz
2026/03/16 20:23:37.617, 87 %, 15044 MiB, 204.44 W, 2415 MHz
2026/03/16 20:23:42.619, 95 %, 15044 MiB, 208.53 W, 2580 MHz
2026/03/16 20:23:47.621, 46 %, 15044 MiB, 181.97 W, 2700 MHz
