task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-16T18:27:17,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.32433582097291946,1.7359894742052087e-07,5.356456719333426e-07,360.0,61.113996408088745,70.0,3.2391029410064216e-05,5.4991710634055835e-06,6.200044436587228e-06,4.409024491005703e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #1,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.23804311640560627,1.7245413376848453e-07,7.250388623638701e-07,360.0,234.74266395729404,70.0,2.3765996657311917e-05,1.5497790180063475e-05,4.535701043075986e-06,4.3799487880451376e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #1,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.05971124768257141,2.7685586545235354e-08,4.64780705291072e-07,360.0,0.0,70.0,5.952294915914538e-06,0.0,1.0792240500450143e-06,7.031518965959556e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #2,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.12286791577935219,9.240439979619549e-08,7.540139878729104e-07,360.0,263.430988547645,70.0,1.2238393723964686e-05,8.956396055026516e-06,2.2738583799865514e-06,2.3468648158977756e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #2,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.1913338638842106,1.2527153568418156e-07,6.550114137515503e-07,360.0,186.03497028449647,70.0,1.863621696829796e-05,9.631118810915495e-06,3.548828838393093e-06,3.181616461760653e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #2,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.06508847139775753,3.0478358890146625e-08,4.6939611362380243e-07,360.0,0.0,70.0,6.548537872731684e-06,0.0,1.192282724918592e-06,7.7408205976503e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #3,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.12558654323220253,9.63489509124647e-08,7.6895038053349e-07,360.0,277.01261691644874,70.0,1.2511820532381531e-05,9.628618816037715e-06,2.3300364561792887e-06,2.4470475804598535e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #3,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.18978019803762436,1.3277612450497047e-07,7.007265327114851e-07,360.0,219.0274819839771,70.0,1.8764542415738097e-05,1.1417509135469572e-05,3.540110562203659e-06,3.3722162113411345e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #3,2026-03-16T18:27:18,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.06537925265729427,3.06545160795357e-08,4.6966214197776123e-07,360.0,0.0,70.0,6.583094410598291e-06,0.0,1.2024661681304372e-06,7.785560578728735e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #4,2026-03-16T18:27:19,regnet-energy,5e775eec-6d94-483c-a708-2f4c9d10cb78,0.12237044051289558,9.489442735988105e-08,7.773835353176355e-07,360.0,284.2352741613379,70.0,1.2196388468146312e-05,9.630563258866687e-06,2.2741076691697045e-06,2.4101059396182693e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
