task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-16T20:18:50,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.3339574672281742,1.8513951206732774e-07,5.548377408090642e-07,360.0,80.52291819956044,70.0,3.321385886520147e-05,7.429450384677239e-06,6.37798063043091e-06,4.702128988030962e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #1,2026-03-16T20:18:50,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.23470059596002102,1.4636985993155712e-07,6.240390625509494e-07,360.0,141.1171319181749,70.0,2.3481931537389755e-05,9.205285138591535e-06,4.487449805148774e-06,3.7174666481130064e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #1,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.05898236483335495,4.451976448043997e-08,7.562255655386075e-07,360.0,266.9146655124842,70.0,5.880783125758175e-06,4.361114605444527e-06,1.0651254302097697e-06,1.1307023161412477e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #2,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.12123681604862213,7.124798590367801e-08,5.88142550299261e-07,360.0,110.85460147672987,70.0,1.2093020230531694e-05,3.7241696375645006e-06,2.2782029584050185e-06,1.809539282650121e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #2,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.1850272361189127,1.2900081876901672e-07,6.976969143317365e-07,360.0,209.66271174965604,70.0,1.8483025208115576e-05,1.0765286397429463e-05,3.5150073986086586e-06,3.27633190041537e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #2,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.06673901155591011,4.680785471037999e-08,7.044982219776589e-07,360.0,233.82489419836224,70.0,6.488147750496865e-06,4.215003372110004e-06,1.1849957156098556e-06,1.1888146838216735e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #3,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.11678793653845787,6.994920240379366e-08,6.001826723408899e-07,360.0,121.15727146474512,70.0,1.1655274219810958e-05,3.9230586921235044e-06,2.187197991750305e-06,1.7765530903684774e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #3,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.1845525372773409,1.3163754930841336e-07,7.137701143143501e-07,360.0,223.56305119548162,70.0,1.845791582018136e-05,1.1463342509898666e-05,3.511731181707646e-06,3.343298951178768e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #3,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.06745057739317417,4.5092816473214107e-08,6.68189262380682e-07,360.0,185.0284435515819,70.0,6.748436391353606e-06,3.4691694352773084e-06,1.2349597074919285e-06,1.1452565534122853e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #4,2026-03-16T20:18:51,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.11958330683410168,7.212438367739666e-08,6.052404916184181e-07,360.0,126.77029688755542,70.0,1.1897747591137892e-05,4.190281131855045e-06,2.2299495111736987e-06,1.831797823416664e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #4,2026-03-16T20:18:52,regnet-energy,e67649a2-7e14-4896-850b-cf07c65d6f8d,0.18611968494951725,1.3281851602088387e-07,7.140725057103504e-07,360.0,226.74809107774752,70.0,1.8540580198168747e-05,1.1678620452926225e-05,3.5137279580036794e-06,3.373292860909868e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
