timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 18:32:30.691, 0 %, 2 MiB, 15.94 W, 210 MHz
2026/03/16 18:32:35.692, 0 %, 2 MiB, 15.02 W, 210 MHz
2026/03/16 18:32:40.694, 0 %, 316 MiB, 14.57 W, 2550 MHz
2026/03/16 18:32:45.700, 0 %, 2960 MiB, 48.88 W, 2550 MHz
2026/03/16 18:32:50.701, 82 %, 15044 MiB, 204.21 W, 2715 MHz
2026/03/16 18:32:55.703, 82 %, 15044 MiB, 203.54 W, 2310 MHz
2026/03/16 18:33:00.712, 91 %, 15044 MiB, 204.54 W, 2700 MHz
2026/03/16 18:33:05.714, 80 %, 15044 MiB, 202.27 W, 2265 MHz
2026/03/16 18:33:10.715, 91 %, 15044 MiB, 204.89 W, 2700 MHz
2026/03/16 18:33:15.717, 83 %, 15044 MiB, 202.53 W, 2250 MHz
2026/03/16 18:33:20.719, 91 %, 15044 MiB, 208.10 W, 2700 MHz
2026/03/16 18:33:25.722, 81 %, 15044 MiB, 203.06 W, 2265 MHz
2026/03/16 18:33:30.724, 92 %, 15044 MiB, 205.84 W, 2700 MHz
2026/03/16 18:33:35.762, 84 %, 15044 MiB, 204.98 W, 2265 MHz
2026/03/16 18:33:40.764, 93 %, 15044 MiB, 205.64 W, 2445 MHz
2026/03/16 18:33:45.765, 86 %, 15044 MiB, 203.60 W, 2355 MHz
2026/03/16 18:33:50.767, 85 %, 15044 MiB, 204.60 W, 2445 MHz
2026/03/16 18:33:55.769, 88 %, 15044 MiB, 205.08 W, 2430 MHz
2026/03/16 18:34:00.774, 85 %, 15044 MiB, 204.75 W, 2415 MHz
2026/03/16 18:34:05.775, 88 %, 15044 MiB, 207.45 W, 2430 MHz
2026/03/16 18:34:10.777, 85 %, 15044 MiB, 204.20 W, 2415 MHz
2026/03/16 18:34:15.779, 82 %, 15044 MiB, 207.60 W, 2235 MHz
2026/03/16 18:34:20.781, 92 %, 15044 MiB, 204.47 W, 2430 MHz
2026/03/16 18:34:25.785, 82 %, 15044 MiB, 209.35 W, 2430 MHz
2026/03/16 18:34:30.787, 93 %, 15044 MiB, 200.54 W, 2685 MHz
2026/03/16 18:34:35.788, 81 %, 15044 MiB, 204.39 W, 2265 MHz
2026/03/16 18:34:40.790, 94 %, 15044 MiB, 204.38 W, 2685 MHz
2026/03/16 18:34:45.793, 84 %, 15044 MiB, 207.34 W, 2235 MHz
2026/03/16 18:34:50.797, 90 %, 15044 MiB, 202.93 W, 2490 MHz
2026/03/16 18:34:55.799, 83 %, 15044 MiB, 200.73 W, 2265 MHz
2026/03/16 18:35:00.801, 90 %, 15044 MiB, 201.35 W, 2490 MHz
2026/03/16 18:35:05.802, 83 %, 15044 MiB, 207.15 W, 2280 MHz
2026/03/16 18:35:10.805, 90 %, 15044 MiB, 203.49 W, 2430 MHz
2026/03/16 18:35:15.810, 82 %, 15044 MiB, 206.85 W, 2340 MHz
2026/03/16 18:35:20.812, 90 %, 15044 MiB, 183.99 W, 2430 MHz
2026/03/16 18:35:25.813, 82 %, 15044 MiB, 209.58 W, 2415 MHz
2026/03/16 18:35:30.815, 91 %, 15044 MiB, 206.00 W, 2415 MHz
2026/03/16 18:35:35.818, 82 %, 15044 MiB, 209.57 W, 2505 MHz
2026/03/16 18:35:40.822, 92 %, 15044 MiB, 206.55 W, 2430 MHz
2026/03/16 18:35:45.825, 81 %, 15044 MiB, 190.26 W, 2685 MHz
2026/03/16 18:35:50.827, 92 %, 15044 MiB, 206.08 W, 2610 MHz
2026/03/16 18:35:55.828, 88 %, 15044 MiB, 211.98 W, 2685 MHz
2026/03/16 18:36:00.831, 86 %, 15044 MiB, 205.86 W, 2235 MHz
2026/03/16 18:36:05.834, 92 %, 15044 MiB, 212.80 W, 2685 MHz
2026/03/16 18:36:10.836, 88 %, 15044 MiB, 179.44 W, 2235 MHz
2026/03/16 18:36:15.838, 88 %, 15044 MiB, 205.86 W, 2685 MHz
2026/03/16 18:36:20.839, 88 %, 15044 MiB, 206.08 W, 2250 MHz
2026/03/16 18:36:25.847, 85 %, 15044 MiB, 205.77 W, 2685 MHz
2026/03/16 18:36:30.848, 88 %, 15044 MiB, 206.47 W, 2250 MHz
2026/03/16 18:36:35.850, 84 %, 15044 MiB, 187.22 W, 2685 MHz
2026/03/16 18:36:40.851, 87 %, 15044 MiB, 206.93 W, 2265 MHz
2026/03/16 18:36:45.890, 87 %, 15044 MiB, 206.63 W, 2490 MHz
2026/03/16 18:36:50.891, 80 %, 15044 MiB, 205.00 W, 2265 MHz
2026/03/16 18:36:55.894, 85 %, 15044 MiB, 205.60 W, 2445 MHz
2026/03/16 18:37:00.897, 68 %, 15044 MiB, 180.31 W, 2250 MHz
2026/03/16 18:37:05.899, 91 %, 15044 MiB, 209.11 W, 2490 MHz
2026/03/16 18:37:10.901, 74 %, 15044 MiB, 203.32 W, 2250 MHz
2026/03/16 18:37:15.903, 91 %, 15044 MiB, 208.05 W, 2490 MHz
2026/03/16 18:37:20.905, 82 %, 15044 MiB, 204.38 W, 2355 MHz
2026/03/16 18:37:25.910, 29 %, 15044 MiB, 187.43 W, 2490 MHz
2026/03/16 18:37:30.911, 74 %, 15044 MiB, 203.21 W, 2250 MHz
2026/03/16 18:37:35.913, 92 %, 15044 MiB, 206.74 W, 2430 MHz
2026/03/16 18:37:40.915, 80 %, 15044 MiB, 211.81 W, 2355 MHz
2026/03/16 18:37:45.917, 92 %, 15044 MiB, 195.30 W, 2685 MHz
